ip,org,country,loc
54.240.113.53,"AS16509 Amazon.com, Inc.",US,"45.8399,-119.7006"
83.166.78.214,AS43009 Infobip Limited,DE,"50.1155,8.6842"
023.04.02.06,,,
025.05.21.05,,,
024.03.14.17,,,
12.246.1.214,"AS7018 AT&T Enterprises, LLC",US,"28.5383,-81.3792"
156.17.10.114,AS8970 Wroclaw Centre of Networking and Supercomputing,PL,"51.1000,17.0333"
217.72.192.134,AS8560 IONOS SE,DE,"50.1155,8.6842"
2.5.1.18,AS3215 Orange S.A.,FR,"48.8648,2.3335"
024.04.25.01,,,
61.174.203.230,AS4134 CHINANET-BACKBONE,CN,"31.2222,121.4581"
209.216.124.212,AS394710 TelMAX Inc.,CA,"44.0501,-79.4663"
61.149.27.205,AS4808 China Unicom Beijing Province Network,CN,"31.2222,121.4581"
211.101.196.194,AS4837 CHINA UNICOM China169 Backbone,CN,"39.9075,116.3972"
45.55.85.241,"AS14061 DigitalOcean, LLC",US,"40.8344,-74.1377"
210.82.165.4,AS9929 CHINA UNICOM Industrial Internet Backbone,CN,"34.2000,118.4833"
193.120.211.219,AS2110 BT Communications Ireland Limited,IE,"53.3331,-6.2489"
203.177.16.3,AS4775 Globe Telecoms,PH,"14.5503,121.0327"
200.185.73.162,"AS16685 TIVIT TERCEIRIZAÇÃO DE PROCESSOS, SERV. E TEC. S/A",BR,"-23.5475,-46.6361"
212.43.201.51,AS8426 Claranet Limited,FR,"48.8534,2.3488"
66.113.136.251,"AS18447 Ntirety, Inc.",US,"27.7709,-82.6793"
216.241.14.99,AS18747 IFX Corporation,CL,"-33.4569,-70.6483"
61.180.83.18,AS4134 CHINANET-BACKBONE,CN,"31.2222,121.4581"
213.67.19.63,AS3301 Telia Company AB,SE,"57.8253,12.0160"
66.13.48.226,AS701 Verizon Business,US,"38.9318,-77.3527"
157.237.139.64,AS2119 Telenor Norge AS,NO,"59.6686,9.6502"
62.90.8.146,AS1680 Cellcom Fixed Line Communication L.P,IL,"32.0871,34.8875"
025.04.03.09,,,
62.57.1.71,"AS6739 VODAFONE ONO, S.A.",ES,"42.8169,-1.6432"
61.13.13.243,,SG,"1.2897,103.8501"
46.34.15.06,,,
87.15.78.89,AS3269 Telecom Italia S.p.A.,IT,"45.6960,9.6672"
209.250.17.98,"AS10489 Armour Cloud, LLC",US,"33.5386,-112.1860"
65.147.20.174,"AS209 CenturyLink Communications, LLC",US,"32.5286,-92.1061"
10.0.36.80,,,
216.240.130.17,"AS16509 Amazon.com, Inc.",US,"32.7157,-117.1647"
10.20.40.142,,,
025.05.13.19,,,
213.122.51.184,AS2856 British Telecommunications PLC,GB,"50.8740,0.0088"
4.8.0.17,"AS3356 Level 3 Parent, LLC",US,"39.0997,-94.5786"
216.77.61.89,"AS6389 AT&T Enterprises, LLC",US,"26.7153,-80.0534"
81.80.28.82,AS3215 Orange S.A.,FR,"48.8534,2.3488"
194.73.73.81,AS2856 British Telecommunications PLC,GB,"53.3830,-1.4659"
025.01.25.12,,,
54.240.37.9,"AS14618 Amazon.com, Inc.",US,"39.0437,-77.4875"
025.05.20.00,,,
64.51.39.08,,,
209.242.170.62,AS33051 SAN YSIDRO SCHOOL DISTRICT,US,"32.7157,-117.1647"
203.24.88.72,,AU,"-37.8140,144.9633"
172.194.175.117,AS8075 Microsoft Corporation,US,"47.6740,-122.1215"
164.203.204.135,AS749 DoD Network Information Center,US,"39.9690,-83.0114"
213.132.0.33,AS20618 Info-Connect A/S,DK,"55.6759,12.5655"
54.240.113.54,"AS16509 Amazon.com, Inc.",US,"45.8399,-119.7006"
97.1.28.112,AS22394 Verizon Business,US,"39.0437,-77.4875"
23.251.234.55,"AS16509 Amazon.com, Inc.",US,"47.5846,-122.3005"
202.125.153.84,AS17557 Pakistan Telecommunication Company Limited,PK,"33.7215,73.0433"
200.161.72.230,AS27699 TELEFÔNICA BRASIL S.A,BR,"-22.9056,-47.0608"
80.47.1.95,AS9105 TalkTalk Communications Limited,GB,"51.5085,-0.1257"
203.155.166.253,AS7693 KSC Commercial Internet Co. Ltd.,TH,"13.7540,100.5014"
210.243.217.90,AS4780 Digital United Inc.,TW,"22.6163,120.3133"
54.248.116.224,"AS16509 Amazon.com, Inc.",JP,"35.6895,139.6917"
66.35.250.206,"AS3561 CenturyLink Communications, LLC",US,"37.3394,-121.8950"
195.96.153.74,AS57474 Nazhin Sepahan IT and data processing plc,IR,"35.6944,51.4215"
209.236.32.11,AS30689 FLOW,JM,"17.9970,-76.7936"
025.03.06.14,,,
025.05.20.07,,,
187.173.171.187,AS8151 UNINET,MX,"19.8140,-101.7916"
216.136.171.252,"AS3561 CenturyLink Communications, LLC",US,"37.3394,-121.8950"
212.78.132.196,"AS6739 VODAFONE ONO, S.A.",ES,"40.9688,-5.6639"
80.249.131.100,AS49505 JSC Selectel,RU,"59.9386,30.3141"
